Subject,Condition,Blink Rate,Fixation Duration,Saccade Amplitude,Eye Movement Velocity
S1,STRESSED,6.333333333333333,7.652722222222222,9.701991507723228,9.725104907012698
S10,STRESSED,4.666666666666667,9.741692307692308,13.046697955184477,10.395245607820256
S11,STRESSED,6.666666666666667,8.366684210526316,15.587998555212787,7.9004650788712985
S12,STRESSED,13.0,4.595131578947369,13.123978346954406,6.2666132696324475
S13,STRESSED,12.0,4.492828571428571,12.968951723751719,25.79701480317337
S14,STRESSED,9.666666666666666,5.465535714285714,7.543497859894257,8.847551413669496
S15,STRESSED,10.333333333333334,5.689733333333334,18.85150287781103,6.656788855090009
S16,STRESSED,10.0,6.163172413793104,19.908250303254444,14.122051302813809
S17,STRESSED,13.0,4.396342105263158,18.932426474573575,9.155768954612098
S18,STRESSED,5.666666666666667,8.962187499999999,17.8885569152723,7.30093246920042
S19,STRESSED,8.666666666666666,6.488480000000001,7.3381312779523125,11.135423389912168
S2,STRESSED,10.0,5.520379310344828,11.231341006253967,8.55338839212806
S20,STRESSED,6.333333333333333,7.361055555555556,10.545724330628213,15.104341050580786
S3,STRESSED,5.666666666666667,9.244499999999999,11.774508582129318,7.968331863961612
S4,STRESSED,9.0,6.477846153846154,18.91738312660825,8.252317695575373
S5,STRESSED,8.666666666666666,7.04332,14.55798887864988,8.417466929471079
S6,STRESSED,11.0,5.19615625,21.30500763097831,9.487223436115075
S7,STRESSED,7.666666666666667,7.637727272727272,7.704030690055861,9.757923424037443
S8,STRESSED,6.333333333333333,8.864333333333333,14.91320809605708,8.25172135384227
S9,STRESSED,4.333333333333333,13.562916666666666,11.930384730885596,8.940291151328427
